smiles,molecular_weight,#ro5_violations,alogp,standard_value,mol,MACCS_fp,morgan_fp
c1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,365.4,0.0,4.65,11100.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1CF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939AF90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583120>
CC(=O)O[C@@H]1CC[C@]2(C)C3=C(CC[C@H]2C1(C)C)[C@@]1(C)CC[C@@H]([C@H](CCC=C(C)C)C(=O)O)[C@]1(C)CC3,498.75,1.0,8.11,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1DD0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583190>
CC(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,442.73,1.0,8.51,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1E40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939AC10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583200>
COc1ccc2c(c1)CCC(c1ccc(OC)c(OC)c1)=C2,296.37,0.0,4.2,30.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1EB0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939AC80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583270>
CCOC(=O)c1c(C)oc2ccc(Oc3ccccc3C)cc12,310.35,1.0,5.02,6100.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1F20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95832E0>
CCOC(=O)c1c(-c2ccccc2)oc2ccc(Oc3ccccc3)cc12,358.39,1.0,6.07,18200.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3C1F90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E939A190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583350>
Cc1ccc(-c2nn(-c3ccccc3)cc2C2N[C@H](C(N)=O)CS2)cc1,364.47,0.0,3.04,380.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95833C0>
CCCOCCCSc1ccccc1OC(C)=O,268.38,0.0,3.52,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE0B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB0B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583430>
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,329.42,0.0,3.44,2.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95834A0>
NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,333.8,0.0,2.84,49.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583510>
