,Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Value
45,CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,275.39,0.0,3.4,6000.0
46,CN1C(O)=C(C(=O)Nc2ccc(Br)cc2Br)c2cc(Cl)ccc2S1(=O)=O,522.6,1.0,4.36,7.0
47,COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)Cc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,490.99,0.0,4.56,220.0
48,COc1ccc2c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,398.42,0.0,2.86,26.0
49,Cc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nn2n1,363.44,0.0,3.78,31.0
50,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nn3nc(S(C)(=O)=O)ccc23)cc1,445.5,0.0,3.01,370.0
51,Nc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1,280.25,0.0,3.54,100000.0
52,Nc1cccc(C(=O)Nc2ccc(C(F)(F)F)cc2)c1,280.25,0.0,3.54,100000.0
53,Nc1ccnc(NC(=O)c2cccc(C(F)(F)F)c2)c1,281.24,0.0,2.93,100000.0
54,COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,347.46,0.0,4.04,470.0
55,COC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1,379.43,0.0,3.65,800.0
56,CS(=O)(=O)c1ccc2c(Sc3ccc(F)cc3)c(C(=O)O)[nH]c2c1,365.41,0.0,3.56,40000.0
57,Cc1cc(=O)c(Oc2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,390.84,0.0,4.46,320.0
58,CC(C(=O)O)c1cccn(C(F)F)c1=O,217.17,0.0,1.43,5900.0
59,Cc1ccc(C)c(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)c1,377.42,0.0,3.74,100000.0
60,COc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,397.38,0.0,3.37,37600.0
61,CC(O)CN1c2ccccc2Sc2ccccc21,257.36,0.0,3.67,5000.0
62,COc1ccc([C@H]2O[C@@H](CO)C[C@]2(O)c2ccc(OC)cc2)cc1,330.38,0.0,2.41,1000.0
63,O=C(O)[C@H]1C[C@](O)(c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)O1,353.2,0.0,3.8,3800.0
64,CC1(C)OC(=O)C(Oc2ccc(C3CC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,399.47,0.0,3.49,30.0
65,Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)cc2)o1,320.41,0.0,3.35,70.0
66,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@@H]9OC[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10O)[C@@H](O)[C@H]9O)[C@H]8O)[C@@](C)(CO)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,1677.79,4.767161376504758,12.346943406469986,50000.0
67,CS(=O)(=O)c1ccc(-c2ccc(N)cc2-c2ccccc2)cc1,323.42,0.0,4.01,254000.0
68,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2)cc1,378.81,0.0,4.17,1478427.39
